time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,asset_pair
2022-06-06,2022-06-07T00:00:00.0000000Z,2022-06-06T00:00:00.0000000Z,2022-06-06T23:59:59.9980000Z,29919.2,31765.64,29890.23,31373.1,68836.92456,1124745,BINANCE_SPOT_BTC_USDT
2022-06-07,2022-06-08T00:00:00.0000000Z,2022-06-07T00:00:00.0010000Z,2022-06-07T23:59:59.9980000Z,31373.1,31589.6,29218.96,31125.33,110674.51658000001,1743957,BINANCE_SPOT_BTC_USDT
2022-06-08,2022-06-09T00:00:00.0000000Z,2022-06-08T00:00:00.0000000Z,2022-06-08T23:59:59.9990000Z,31125.32,31327.22,29843.88,30204.77,68542.61276,1236327,BINANCE_SPOT_BTC_USDT
2022-06-09,2022-06-10T00:00:00.0000000Z,2022-06-09T00:00:00.0000000Z,2022-06-09T23:59:59.9990000Z,30204.77,30700.0,29944.1,30109.93,46280.313299999994,841323,BINANCE_SPOT_BTC_USDT
2022-06-10,2022-06-11T00:00:00.0000000Z,2022-06-10T00:00:00.0020000Z,2022-06-10T23:59:59.9970000Z,30109.93,30382.8,28850.0,29091.88,76204.2498,1258608,BINANCE_SPOT_BTC_USDT
2022-06-11,2022-06-12T00:00:00.0000000Z,2022-06-11T00:00:00.0000000Z,2022-06-11T23:59:59.9990000Z,29091.87,29440.41,28099.99,28424.7,65901.39895000002,1084163,BINANCE_SPOT_BTC_USDT
2022-06-12,2022-06-13T00:00:00.0000000Z,2022-06-12T00:00:00.0000000Z,2022-06-12T23:59:59.9990000Z,28424.71,28544.96,26560.0,26574.53,92474.59880900002,1451271,BINANCE_SPOT_BTC_USDT
2022-06-13,2022-06-14T00:00:00.0000000Z,2022-06-13T00:00:00.0000000Z,2022-06-13T23:59:59.9990000Z,26574.53,26895.84,21925.77,22487.41,254577.233556,3260874,BINANCE_SPOT_BTC_USDT
2022-06-14,2022-06-15T00:00:00.0000000Z,2022-06-14T00:00:00.0030000Z,2022-06-14T23:59:59.9980000Z,22485.27,23362.88,20846.0,22136.41,187201.64671,2583151,BINANCE_SPOT_BTC_USDT
2022-06-15,2022-06-16T00:00:00.0000000Z,2022-06-15T00:00:00.0000000Z,2022-06-15T23:59:59.9990000Z,22136.42,22800.0,20111.62,22583.72,200782.23313699997,2847881,BINANCE_SPOT_BTC_USDT
2022-06-16,2022-06-17T00:00:00.0000000Z,2022-06-16T00:00:00.0000000Z,2022-06-16T23:59:59.9990000Z,22583.72,22995.73,20232.0,20401.31,99673.59429,1690477,BINANCE_SPOT_BTC_USDT
2022-06-17,2022-06-18T00:00:00.0000000Z,2022-06-17T00:00:00.0000000Z,2022-06-17T23:59:59.9990000Z,20400.6,21365.43,20246.66,20468.81,86693.81782000001,1352946,BINANCE_SPOT_BTC_USDT
2022-06-18,2022-06-19T00:00:00.0000000Z,2022-06-18T00:00:00.0010000Z,2022-06-18T23:59:59.9990000Z,20468.81,20792.06,17622.0,18970.79,196434.828544,2467209,BINANCE_SPOT_BTC_USDT
2022-06-19,2022-06-20T00:00:00.0000000Z,2022-06-19T00:00:00.0000000Z,2022-06-19T23:59:59.9980000Z,18970.79,20815.95,17960.41,20574.0,128320.87595,1950660,BINANCE_SPOT_BTC_USDT
2022-06-20,2022-06-21T00:00:00.0000000Z,2022-06-20T00:00:00.0030000Z,2022-06-20T23:59:59.9970000Z,20574.0,21090.0,19637.03,20573.89,109028.94154,1639448,BINANCE_SPOT_BTC_USDT
2022-06-21,2022-06-22T00:00:00.0000000Z,2022-06-21T00:00:00.0040000Z,2022-06-21T23:59:59.9990000Z,20573.9,21723.0,20348.4,20723.52,104362.74997,1515205,BINANCE_SPOT_BTC_USDT
2022-06-22,2022-06-23T00:00:00.0000000Z,2022-06-22T00:00:00.0030000Z,2022-06-22T23:59:59.9980000Z,20723.51,20900.0,19770.51,19987.99,92133.97938,1394981,BINANCE_SPOT_BTC_USDT
2022-06-23,2022-06-24T00:00:00.0000000Z,2022-06-23T00:00:00.0000000Z,2022-06-23T23:59:59.9990000Z,19988.0,21233.0,19890.07,21110.13,83127.08715999998,1207858,BINANCE_SPOT_BTC_USDT
2022-06-24,2022-06-25T00:00:00.0000000Z,2022-06-24T00:00:00.0000000Z,2022-06-24T23:59:59.9980000Z,21110.12,21558.41,20736.72,21237.69,77394.51870000002,1309106,BINANCE_SPOT_BTC_USDT
2022-06-25,2022-06-26T00:00:00.0000000Z,2022-06-25T00:00:00.0000000Z,2022-06-25T23:59:59.9920000Z,21237.68,21614.5,20906.62,21491.19,51431.677939999994,874540,BINANCE_SPOT_BTC_USDT
2022-06-26,2022-06-27T00:00:00.0000000Z,2022-06-26T00:00:00.0000000Z,2022-06-26T23:59:59.9960000Z,21491.18,21888.0,20964.73,21038.07,53271.79154,885072,BINANCE_SPOT_BTC_USDT
2022-06-27,2022-06-28T00:00:00.0000000Z,2022-06-27T00:00:00.0030000Z,2022-06-27T23:59:59.9980000Z,21038.08,21539.85,20510.0,20742.56,64475.0013,1002214,BINANCE_SPOT_BTC_USDT
2022-06-28,2022-06-29T00:00:00.0000000Z,2022-06-28T00:00:00.0000000Z,2022-06-28T23:59:59.9990000Z,20742.57,21212.1,20202.01,20281.29,63801.08320000001,1064497,BINANCE_SPOT_BTC_USDT
2022-06-29,2022-06-30T00:00:00.0000000Z,2022-06-29T00:00:00.0000000Z,2022-06-29T23:59:59.9980000Z,20281.28,20432.31,19854.92,20123.01,77309.04379,1210636,BINANCE_SPOT_BTC_USDT
2022-06-30,2022-07-01T00:00:00.0000000Z,2022-06-30T00:00:00.0000000Z,2022-06-30T23:59:59.9980000Z,20123.0,20179.08,18626.0,19942.21,93846.64806000002,1438163,BINANCE_SPOT_BTC_USDT
2022-07-01,2022-07-02T00:00:00.0000000Z,2022-07-01T00:00:00.0030000Z,2022-07-01T23:59:59.9980000Z,19942.21,20918.35,18975.0,19279.8,111844.59494000001,1668363,BINANCE_SPOT_BTC_USDT
2022-07-02,2022-07-03T00:00:00.0000000Z,2022-07-02T00:00:00.0000000Z,2022-07-02T23:59:59.9990000Z,19279.8,19467.39,18977.01,19252.81,46180.30209999999,833508,BINANCE_SPOT_BTC_USDT
2022-07-03,2022-07-04T00:00:00.0000000Z,2022-07-03T00:00:00.0020000Z,2022-07-03T23:59:59.9990000Z,19252.82,19647.63,18781.0,19315.83,51083.08165,880713,BINANCE_SPOT_BTC_USDT
2022-07-04,2022-07-05T00:00:00.0000000Z,2022-07-04T00:00:00.0000000Z,2022-07-04T23:59:59.9990000Z,19315.83,20354.01,19055.31,20236.71,74814.04601,1282843,BINANCE_SPOT_BTC_USDT
2022-07-05,2022-07-06T00:00:00.0000000Z,2022-07-05T00:00:00.0000000Z,2022-07-05T23:59:59.9990000Z,20236.71,20750.0,19304.4,20175.83,96041.13755999999,1612273,BINANCE_SPOT_BTC_USDT
2022-07-06,2022-07-07T00:00:00.0000000Z,2022-07-06T00:00:00.0010000Z,2022-07-06T23:59:59.9990000Z,20175.84,20675.22,19761.25,20564.51,82439.5808,1472221,BINANCE_SPOT_BTC_USDT
2022-07-07,2022-07-08T00:00:00.0000000Z,2022-07-07T00:00:00.0000000Z,2022-07-07T23:59:59.9980000Z,20564.51,21838.1,20251.68,21624.98,85014.58261000001,1653722,BINANCE_SPOT_BTC_USDT
2022-07-08,2022-07-09T00:00:00.0000000Z,2022-07-08T00:00:00.0010000Z,2022-07-08T23:59:59.9990000Z,21624.99,22527.37,21189.26,21594.75,403081.5734900001,4358216,BINANCE_SPOT_BTC_USDT
2022-07-09,2022-07-10T00:00:00.0000000Z,2022-07-09T00:00:00.0000000Z,2022-07-09T23:59:59.9990000Z,21594.75,21980.0,21322.12,21591.83,178373.08005000002,3523354,BINANCE_SPOT_BTC_USDT
2022-07-10,2022-07-11T00:00:00.0000000Z,2022-07-10T00:00:00.0010000Z,2022-07-10T23:59:59.9980000Z,21592.15,21607.65,20655.0,20862.47,192188.21556,3434401,BINANCE_SPOT_BTC_USDT
2022-07-11,2022-07-12T00:00:00.0000000Z,2022-07-11T00:00:00.0000000Z,2022-07-11T23:59:59.9990000Z,20861.11,20868.48,19875.23,19963.61,137535.40724,3232941,BINANCE_SPOT_BTC_USDT
